Feature,Chi-Square,p-Value
CFileSize,3335015.0249983435,0.0
UFileSize,3262068.1805787794,0.0
Package,2887506.519569818,0.0
Detection_Ratio,2595187.8474132004,0.0
nr_syscalls,913539.0454117375,0.0
read,888379.3886163589,0.0
SYS_329,830307.5556818312,0.0
clock_gettime,630998.4471692777,0.0
getuid32,591293.7049806444,0.0
sha256,464082.1484209882,0.0
FilesInsideAPK,365324.6710017576,0.0
EarliestModDate,275515.24463779904,0.0
mprotect,182728.99238989622,0.0
write,154148.39117960105,0.0
HighestModDate,143345.1684244068,0.0
recvfrom,75274.93344271096,0.0
ioctl,71147.788223609,0.0
futex,58212.33301787263,0.0
SYS_310,49595.34729374301,0.0
fstat64,43656.15090174257,0.0
writev,42937.42040702446,0.0
rt_sigprocmask,36852.81922331984,0.0
fcntl64,34978.39668810785,0.0
gettimeofday,29897.971482933866,0.0
Activities,29671.432945294746,0.0
sendfile64,29397.915197064718,0.0
prctl,28465.21714147034,0.0
pread,27725.72904376304,0.0
mmap2,24334.80465987141,0.0
getpid,23364.296623979357,0.0
SYS_305,21642.51613259401,0.0
close,21492.616462137936,0.0
getsockopt,18057.78855653592,0.0
sched_yield,17876.41257700376,0.0
pwrite,16202.121607198824,0.0
SYS_317,15410.712135188085,0.0
munmap,14271.400940302328,0.0
madvise,11648.545019571176,0.0
TRANSMIT_IR,10961.453284542156,0.0
nr_custom,10251.750998804217,0.0
SET_TIME_ZONE,9975.536153143516,0.0
USE_SIP,9345.059454151378,0.0
sigaction,8907.603334327705,0.0
TotalIntentFilters,8698.109591295302,0.0
fdatasync,8079.059696282012,0.0
TimesSubmitted,7942.491700719516,0.0
NrServices,7667.355568170541,0.0
NrIntReceiversActions,7568.475408118444,0.0
geteuid32,6862.435661666961,0.0
signature,6475.269329090202,0.0
total_perm,6394.0102136203,0.0
DIAGNOSTIC,6124.283406320269,0.0
socket,6069.602746288151,0.0
BODY_SENSORS,5534.916060633956,0.0
clone,5518.527306415975,0.0
nr_permissions,5403.019804312112,0.0
BIND_PRINT_SERVICE,5249.3074243782,0.0
SEND_SMS,5247.517154081309,0.0
ACCOUNT_MANAGER,4797.064528607279,0.0
SYS_312,4638.344561894722,0.0
NrIntActivitiesActions,4633.192465980485,0.0
fsync,4570.240049100133,0.0
RECEIVE_WAP_PUSH,4414.1112633361345,0.0
NrIntActivities,3990.5149119538605,0.0
_llseek,3630.108844285789,0.0
NrIntServicesActions,3511.1790713297523,0.0
READ_LOGS,3257.285302450927,0.0
dangerous,3242.558883761556,0.0
SYS_311,3119.7020022822485,0.0
SYS_316,3030.511239287268,0.0
GET_TASKS,2885.003214364621,0.0
CAPTURE_AUDIO_OUTPUT,2826.354452506897,0.0
WRITE_SETTINGS,2823.1389770852093,0.0
SET_WALLPAPER,2771.568178562454,0.0
NrIntReceivers,2695.464007886762,0.0
NrIntServices,2695.464007886762,0.0
recv,2552.08177675776,0.0
WRITE_APN_SETTINGS,2523.6584664848374,0.0
PERSISTENT_ACTIVITY,2517.7605582569045,0.0
CLEAR_APP_CACHE,2490.3745887682276,0.0
BIND_APPWIDGET,2459.2479908786177,0.0
CHANGE_COMPONENT_ENABLED_STATE,2331.3463775181435,0.0
flock,2263.788456213464,0.0
DELETE_PACKAGES,2207.0826472043846,0.0
normal,2101.18421965063,0.0
SYS_306,2012.1836959305897,0.0
REORDER_TASKS,2005.568069304318,0.0
CHANGE_CONFIGURATION,1981.337308233067,0.0
fstatfs64,1947.7865511784296,0.0
SYS_315,1883.8784893499928,0.0
GET_PACKAGE_SIZE,1778.4506929483287,0.0
READ_CONTACTS,1767.443364962822,6.15928309338655e-310
READ_PHONE_STATE,1693.795067101259,9.526845882102778e-295
READ_SMS,1689.2030484267157,8.411438477029363e-294
RECEIVE_SMS,1604.3797698458602,2.3548207296050832e-276
tgkill,1556.03117634336,1.965293104772855e-266
SYS_342,1473.3659655111387,1.6372225940546627e-249
dup,1467.1943189157912,2.985916811660586e-248
ACCESS_WIFI_STATE,1422.5229972646664,3.908921738298152e-239
EXPAND_STATUS_BAR,1401.143811202201,8.888682230300805e-235
kill,1379.1656300554146,2.6491845338509836e-230
WRITE_CALL_LOG,1338.2818751544946,5.411328739040598e-222
SET_WALLPAPER_HINTS,1332.268821028306,8.996706133559742e-221
CHANGE_WIFI_STATE,1331.6492484456455,1.2018447963037034e-220
BATTERY_STATS,1319.9282690496236,2.8726083373590807e-218
SET_TIME,1311.2717100924883,1.6365100844401076e-216
RESTART_PACKAGES,1294.2827413037733,4.540112666952103e-213
ACCESS_LOCATION_EXTRA_COMMANDS,1269.3892501013468,4.969784797285013e-208
PACKAGE_USAGE_STATS,1216.0245113771623,2.980983616366334e-197
setsockopt,1159.1989532620403,8.154377432536694e-186
RECEIVE_MMS,1153.4167690235208,1.1821766135874448e-184
epoll_ctl,1131.1781308377701,3.424772364275958e-180
READ_SYNC_STATS,1107.3098542043151,2.067519919528131e-175
DELETE_CACHE_FILES,1083.677630846817,1.0974196181307698e-170
CHANGE_WIFI_MULTICAST_STATE,1050.3240004203624,4.938898374299144e-164
BIND_NOTIFICATION_LISTENER_SERVICE,1004.4627064515156,6.465880791718089e-155
DISABLE_KEYGUARD,965.1960414705989,3.851241727180969e-147
SYS_319,961.4514445536001,2.115732638841963e-146
WRITE_SECURE_SETTINGS,942.6798264051193,1.07158361421295e-142
nanosleep,902.3321939653522,9.267638973702763e-135
MOUNT_UNMOUNT_FILESYSTEMS,881.7029666217815,1.0249626398573705e-130
BROADCAST_STICKY,847.0267917496312,6.088204357553619e-124
KILL_BACKGROUND_PROCESSES,826.1072435595546,7.176678320762751e-120
PROCESS_OUTGOING_CALLS,778.7944150982072,1.0439492760688908e-110
sigaltstack,765.867873667692,3.238609258355785e-108
CHANGE_NETWORK_STATE,757.6598197011241,1.229565809577707e-106
sysinfo,752.0127326468757,1.4965366808769012e-105
STATUS_BAR,702.4344254394846,4.533527668576636e-96
bind,700.8809568712148,8.955221651439385e-96
BIND_ACCESSIBILITY_SERVICE,697.9972972906867,3.166795014323856e-95
MODIFY_PHONE_STATE,682.4049914784646,2.891003005133638e-92
READ_CALL_LOG,668.103273739259,1.471764330865784e-89
WRITE_SYNC_SETTINGS,658.7391792351663,8.619536990668443e-88
SYSTEM_ALERT_WINDOW,649.6451476575039,4.451681656577542e-86
NFC,637.5148432302269,8.467765551963442e-84
WRITE_EXTERNAL_STORAGE,623.6651376749195,3.3248258772365162e-81
USE_FINGERPRINT,565.4622228418746,2.07386270204503e-70
ftruncate64,553.3325199754595,3.4895706852121413e-68
READ_SYNC_SETTINGS,531.9829236330494,2.745733283055929e-64
getdents64,519.8984063820628,4.272080341830384e-62
ACCESS_NETWORK_STATE,513.1104736169175,7.202493116163526e-61
WRITE_CONTACTS,511.22502557220747,1.5764475437055483e-60
SYS_340,493.063459344215,2.892777011071033e-57
SYS_339,492.5592467528972,3.560972316675238e-57
getrlimit,487.547687155385,2.802608589889883e-56
SYS_300,480.9437471685484,4.219187412932523e-55
INSTALL_PACKAGES,479.168318391059,8.734545843724072e-55
MODIFY_AUDIO_SETTINGS,473.2275891084356,9.925784231297567e-54
REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,459.7927753011645,2.3595809097882848e-51
lseek,449.35383142400536,1.6147188217998052e-49
ACCESS_FINE_LOCATION,440.5422847616884,5.615976381977198e-48
WRITE_CALENDAR,416.9827712700736,6.807368180670128e-44
READ_CALENDAR,404.7884206613138,8.387697941870035e-42
ACCESS_COARSE_LOCATION,398.2327053658189,1.0981550130982772e-40
WAKE_LOCK,397.83386200556777,1.2836921925200971e-40
vfork,391.95607689605595,1.274687890516985e-39
BLUETOOTH_ADMIN,381.9974024604426,6.093843240425997e-38
SET_PREFERRED_APPLICATIONS,378.20518886629225,2.6371919449609585e-37
RECEIVE_BOOT_COMPLETED,376.38593626440314,5.317542398139244e-37
getgid32,372.67252520420493,2.2183826763855937e-36
SYS_331,368.41836914913677,1.133501075130311e-35
CALL_PHONE,365.1294449388115,3.9845987683761124e-35
VIBRATE,363.95904390193857,6.227434413102523e-35
READ_EXTERNAL_STORAGE,361.7195238142543,1.4616387079370392e-34
GET_ACCOUNTS,357.88269890459014,6.2803827967263905e-34
getegid32,352.0525233829023,5.701227745575063e-33
connect,339.2670510745844,6.898184303209402e-31
rt_sigreturn,336.62969966122733,1.8413931242898523e-30
